customer_id,age,tenure,service_type,monthly_fee,churn,lifetime_value,service_weight,engagement_score,R_score,F_score,M_score,RFM_score,rfm_segment,_tenure_bucket,_age_group
C1032,59,69,mobile,22.44,0,1548.36,1.0,4.248,5,3,2,10,Loyal,49+,56-65
C1033,45,69,internet,105.73,0,7295.37,2.0,8.497,5,4,5,14,Champions,49+,36-45
C1034,33,3,bundle,86.31,0,258.93,3.0,4.159,1,3,1,5,At Risk,0-6,26-35
C1035,32,61,bundle,147.27,0,8983.47,3.0,12.381,5,5,5,15,Champions,49+,26-35
C1036,64,61,internet,41.84,0,2552.24,2.0,8.254,5,4,3,12,Champions,49+,56-65
C1037,68,23,bundle,66.56,0,1530.88,3.0,9.534,2,5,2,9,Loyal,13-24,65+
C1038,61,54,mobile,85.96,0,4641.84,1.0,4.007,4,3,4,11,Loyal,49+,56-65
C1039,69,8,tv,120.84,1,966.72,1.0,2.197,1,1,2,4,At Risk,7-12,65+
C1040,20,2,internet,86.84,1,173.68,2.0,2.197,1,1,1,3,Hibernating,0-6,18-25
C1041,54,30,tv,95.81,0,2874.3,1.0,3.434,3,2,3,8,Potential,25-48,46-55
C1042,68,39,bundle,41.66,0,1624.74,3.0,11.067,3,5,3,11,Loyal,25-48,65+
C1043,24,35,tv,128.57,1,4499.95,1.0,3.584,3,2,4,9,Loyal,25-48,18-25
C1044,38,23,bundle,70.01,0,1610.23,3.0,9.534,2,5,2,9,Loyal,13-24,36-45
C1045,26,5,bundle,29.73,0,148.65,3.0,5.375,1,3,1,5,At Risk,0-6,26-35
C1046,56,65,mobile,102.99,1,6694.35,1.0,4.19,5,3,5,13,Champions,49+,56-65
C1047,35,3,bundle,40.25,0,120.75,3.0,4.159,1,3,1,5,At Risk,0-6,26-35
C1048,21,5,mobile,23.66,1,118.3,1.0,1.792,1,1,1,3,Hibernating,0-6,18-25
C1049,42,50,mobile,130.68,1,6534.0,1.0,3.932,4,2,5,11,Loyal,49+,36-45
C1050,31,61,mobile,74.42,0,4539.62,1.0,4.127,5,3,4,12,Champions,49+,26-35
C1051,67,56,internet,114.9,1,6434.4,2.0,8.086,4,4,5,13,Champions,49+,65+
C1052,26,65,internet,50.68,0,3294.2,2.0,8.379,5,4,4,13,Champions,49+,26-35
C1053,43,7,bundle,120.18,1,841.26,3.0,6.238,1,3,2,6,Potential,7-12,36-45
C1054,19,25,mobile,25.67,0,641.75,1.0,3.258,2,1,1,4,At Risk,25-48,18-25
C1055,37,50,internet,59.84,0,2992.0,2.0,7.864,4,4,4,12,Champions,49+,36-45
C1056,45,44,mobile,146.93,1,6464.92,1.0,3.807,4,2,5,11,Loyal,25-48,36-45
C1057,64,43,tv,121.16,1,5209.88,1.0,3.784,4,2,5,11,Loyal,25-48,56-65
C1058,24,4,tv,79.62,1,318.48,1.0,1.609,1,1,1,3,Hibernating,0-6,18-25
C1059,61,69,tv,57.57,0,3972.33,1.0,4.248,5,3,4,12,Champions,49+,56-65
C1060,25,25,bundle,132.1,0,3302.5,3.0,9.774,2,5,4,11,Loyal,25-48,18-25
C1061,64,67,mobile,86.28,0,5780.76,1.0,4.22,5,3,5,13,Champions,49+,56-65
C1062,52,18,tv,116.18,0,2091.24,1.0,2.944,2,1,3,6,Potential,13-24,46-55
C1063,31,19,internet,115.58,0,2196.02,2.0,5.991,2,3,3,8,Potential,13-24,26-35
C1064,34,11,tv,12.51,0,137.61,1.0,2.485,1,1,1,3,Hibernating,7-12,26-35
C1065,53,46,tv,27.68,0,1273.28,1.0,3.85,4,2,2,8,Potential,25-48,46-55
C1066,67,0,tv,102.35,1,0.0,1.0,0.0,1,1,1,3,Hibernating,0-6,65+
C1067,57,13,bundle,32.63,0,424.19,3.0,7.917,1,4,1,6,Potential,13-24,56-65
C1068,21,63,internet,45.77,0,2883.51,2.0,8.318,5,4,3,12,Champions,49+,18-25
C1069,19,37,mobile,142.53,1,5273.61,1.0,3.638,3,2,5,10,Loyal,25-48,18-25
C1070,23,36,internet,88.43,0,3183.48,2.0,7.222,3,4,4,11,Loyal,25-48,18-25
C1071,59,10,mobile,115.1,1,1151.0,1.0,2.398,1,1,2,4,At Risk,7-12,56-65
C1072,21,2,bundle,88.12,1,176.24,3.0,3.296,1,1,1,3,Hibernating,0-6,18-25
C1073,46,32,bundle,87.35,0,2795.2,3.0,10.49,3,5,3,11,Loyal,25-48,46-55
C1074,35,5,bundle,23.18,0,115.9,3.0,5.375,1,3,1,5,At Risk,0-6,26-35
C1075,43,49,bundle,58.11,0,2847.39,3.0,11.736,4,5,3,12,Champions,49+,36-45
C1076,61,9,mobile,49.54,1,445.86,1.0,2.303,1,1,1,3,Hibernating,7-12,56-65
C1077,51,4,tv,64.7,0,258.8,1.0,1.609,1,1,1,3,Hibernating,0-6,46-55
C1078,27,22,mobile,121.77,1,2678.94,1.0,3.135,2,1,3,6,Potential,13-24,26-35
C1079,53,9,internet,62.07,0,558.63,2.0,4.605,1,3,1,5,At Risk,7-12,46-55
C1080,31,43,bundle,73.24,0,3149.32,3.0,11.353,4,5,4,13,Champions,25-48,26-35
C1081,48,1,bundle,65.63,0,65.63,3.0,2.079,1,1,1,3,Hibernating,0-6,46-55
C1082,65,12,internet,23.08,0,276.96,2.0,5.13,1,3,1,5,At Risk,7-12,56-65
C1083,32,39,mobile,71.75,0,2798.25,1.0,3.689,3,2,3,8,Potential,25-48,26-35
C1084,25,1,tv,37.39,0,37.39,1.0,0.693,1,1,1,3,Hibernating,0-6,18-25
C1085,31,64,tv,36.14,0,2312.96,1.0,4.174,5,3,3,11,Loyal,49+,26-35
C1086,40,62,internet,23.17,0,1436.54,2.0,8.286,5,4,2,11,Loyal,49+,36-45
C1087,57,16,tv,59.93,0,958.88,1.0,2.833,2,1,2,5,At Risk,13-24,56-65
C1088,38,8,mobile,116.05,1,928.4,1.0,2.197,1,1,2,4,At Risk,7-12,36-45
C1089,33,14,mobile,48.7,0,681.8,1.0,2.708,2,1,1,4,At Risk,13-24,26-35
C1090,62,23,internet,53.73,0,1235.79,2.0,6.356,2,3,2,7,Potential,13-24,56-65
C1091,35,37,mobile,99.97,0,3698.89,1.0,3.638,3,2,4,9,Loyal,25-48,26-35
C1092,64,34,bundle,37.42,0,1272.28,3.0,10.666,3,5,2,10,Loyal,25-48,56-65
C1093,41,48,internet,135.57,0,6507.36,2.0,7.784,4,4,5,13,Champions,25-48,36-45
C1094,43,68,mobile,82.83,0,5632.44,1.0,4.234,5,3,5,13,Champions,49+,36-45
C1095,42,61,internet,72.66,0,4432.26,2.0,8.254,5,4,4,13,Champions,49+,36-45
C1096,62,59,tv,88.09,0,5197.31,1.0,4.094,5,3,5,13,Champions,49+,56-65
C1097,58,49,mobile,33.24,0,1628.76,1.0,3.912,4,2,3,9,Loyal,49+,56-65
C1098,46,8,bundle,95.89,0,767.12,3.0,6.592,1,4,2,7,Potential,7-12,46-55
C1099,32,33,mobile,60.83,0,2007.39,1.0,3.526,3,2,3,8,Potential,25-48,26-35
C1100,62,34,internet,135.61,1,4610.74,2.0,7.111,3,4,4,11,Loyal,25-48,56-65
C1101,18,0,internet,33.64,1,0.0,2.0,0.0,1,1,1,3,Hibernating,0-6,18-25
C1102,42,39,mobile,80.99,0,3158.61,1.0,3.689,3,2,4,9,Loyal,25-48,36-45
C1103,24,63,bundle,93.74,0,5905.62,3.0,12.477,5,5,5,15,Champions,49+,18-25
C1104,26,21,bundle,14.67,0,308.07,3.0,9.273,2,5,1,8,Potential,13-24,26-35
C1105,41,59,bundle,60.92,0,3594.28,3.0,12.283,5,5,4,14,Champions,49+,36-45
C1106,18,63,internet,112.57,1,7091.91,2.0,8.318,5,4,5,14,Champions,49+,18-25
C1107,61,71,mobile,124.85,1,8864.35,1.0,4.277,5,3,5,13,Champions,49+,56-65
C1108,25,10,tv,53.84,0,538.4,1.0,2.398,1,1,1,3,Hibernating,7-12,18-25
C1109,41,13,internet,121.8,0,1583.4,2.0,5.278,1,3,2,6,Potential,13-24,36-45
C1110,28,59,bundle,145.49,0,8583.91,3.0,12.283,5,5,5,15,Champions,49+,26-35
C1111,68,29,mobile,129.96,1,3768.84,1.0,3.401,3,2,4,9,Loyal,25-48,65+
C1112,34,34,bundle,26.47,0,899.98,3.0,10.666,3,5,2,10,Loyal,25-48,26-35
C1113,25,36,tv,113.56,0,4088.16,1.0,3.611,3,2,4,9,Loyal,25-48,18-25
C1114,52,4,bundle,54.75,0,219.0,3.0,4.828,1,3,1,5,At Risk,0-6,46-55
C1115,52,25,bundle,148.38,0,3709.5,3.0,9.774,2,5,4,11,Loyal,25-48,46-55
C1116,50,61,tv,77.95,0,4754.95,1.0,4.127,5,3,4,12,Champions,49+,46-55
C1117,22,3,mobile,27.14,1,81.42,1.0,1.386,1,1,1,3,Hibernating,0-6,18-25
C1118,59,41,internet,111.53,0,4572.73,2.0,7.475,3,4,4,11,Loyal,25-48,56-65
C1119,56,17,mobile,55.22,0,938.74,1.0,2.89,2,1,2,5,At Risk,13-24,56-65
C1120,58,39,tv,149.59,0,5834.01,1.0,3.689,3,2,5,10,Loyal,25-48,56-65
C1121,45,71,bundle,147.17,0,10449.07,3.0,12.83,5,5,5,15,Champions,49+,36-45
C1122,24,38,mobile,101.86,1,3870.68,1.0,3.664,3,2,4,9,Loyal,25-48,18-25
C1123,26,13,internet,28.18,0,366.34,2.0,5.278,1,3,1,5,At Risk,13-24,26-35
C1124,25,31,tv,106.16,0,3290.96,1.0,3.466,3,2,4,9,Loyal,25-48,18-25
C1125,29,50,mobile,23.02,0,1151.0,1.0,3.932,4,2,2,8,Potential,49+,26-35
C1126,51,37,internet,14.11,0,522.07,2.0,7.275,3,4,1,8,Potential,25-48,46-55
C1127,50,22,tv,125.21,0,2754.62,1.0,3.135,2,1,3,6,Potential,13-24,46-55
C1128,65,62,internet,39.37,0,2440.94,2.0,8.286,5,4,3,12,Champions,49+,56-65
C1129,40,14,tv,63.06,0,882.84,1.0,2.708,2,1,2,5,At Risk,13-24,36-45
C1130,41,24,bundle,146.28,0,3510.72,3.0,9.657,2,5,4,11,Loyal,13-24,36-45
C1131,54,16,mobile,57.16,0,914.56,1.0,2.833,2,1,2,5,At Risk,13-24,46-55
C1132,52,65,internet,51.51,0,3348.15,2.0,8.379,5,4,4,13,Champions,49+,46-55
C1133,61,52,tv,138.55,1,7204.6,1.0,3.97,4,2,5,11,Loyal,49+,56-65
C1134,57,50,internet,25.5,0,1275.0,2.0,7.864,4,4,2,10,Loyal,49+,56-65
C1135,39,38,internet,116.34,0,4420.92,2.0,7.327,3,4,4,11,Loyal,25-48,36-45
C1136,44,50,mobile,148.33,1,7416.5,1.0,3.932,4,2,5,11,Loyal,49+,36-45
C1137,52,69,bundle,136.18,0,9396.42,3.0,12.745,5,5,5,15,Champions,49+,46-55
C1138,18,5,internet,101.23,1,506.15,2.0,3.584,1,2,1,4,At Risk,0-6,18-25
C1139,52,66,tv,53.97,0,3562.02,1.0,4.205,5,3,4,12,Champions,49+,46-55
C1140,54,6,tv,45.61,0,273.66,1.0,1.946,1,1,1,3,Hibernating,0-6,46-55
C1141,64,50,bundle,124.7,1,6235.0,3.0,11.795,4,5,5,14,Champions,49+,56-65
C1142,31,71,tv,133.18,0,9455.78,1.0,4.277,5,3,5,13,Champions,49+,26-35
C1143,20,41,bundle,83.56,0,3425.96,3.0,11.213,3,5,4,12,Champions,25-48,18-25
C1144,18,63,tv,44.21,0,2785.23,1.0,4.159,5,3,3,11,Loyal,49+,18-25
C1145,22,14,mobile,25.81,0,361.34,1.0,2.708,2,1,1,4,At Risk,13-24,18-25
C1146,43,28,internet,22.21,0,621.88,2.0,6.735,2,4,1,7,Potential,25-48,36-45
C1147,31,32,mobile,110.67,1,3541.44,1.0,3.497,3,2,4,9,Loyal,25-48,26-35
C1148,56,26,internet,68.82,0,1789.32,2.0,6.592,2,4,3,9,Loyal,25-48,56-65
C1149,44,35,internet,136.75,0,4786.25,2.0,7.167,3,4,4,11,Loyal,25-48,36-45
C1150,26,28,internet,113.55,0,3179.4,2.0,6.735,2,4,4,10,Loyal,25-48,26-35
C1151,32,37,mobile,36.78,0,1360.86,1.0,3.638,3,2,2,7,Potential,25-48,26-35
C1152,32,56,internet,95.93,0,5372.08,2.0,8.086,4,4,5,13,Champions,49+,26-35
C1153,43,26,mobile,70.97,0,1845.22,1.0,3.296,2,2,3,7,Potential,25-48,36-45
C1154,59,54,bundle,90.81,0,4903.74,3.0,12.022,4,5,5,14,Champions,49+,56-65
C1155,30,32,tv,113.33,0,3626.56,1.0,3.497,3,2,4,9,Loyal,25-48,26-35
C1156,68,67,tv,122.87,1,8232.29,1.0,4.22,5,3,5,13,Champions,49+,65+
C1157,49,65,internet,128.12,0,8327.8,2.0,8.379,5,4,5,14,Champions,49+,46-55
C1158,56,9,mobile,45.56,1,410.04,1.0,2.303,1,1,1,3,Hibernating,7-12,56-65
C1159,66,4,tv,14.36,1,57.44,1.0,1.609,1,1,1,3,Hibernating,0-6,65+
C1160,69,37,mobile,113.5,1,4199.5,1.0,3.638,3,2,4,9,Loyal,25-48,65+
C1161,49,12,mobile,24.89,0,298.68,1.0,2.565,1,1,1,3,Hibernating,7-12,46-55
C1162,21,30,internet,54.09,0,1622.7,2.0,6.868,3,4,2,9,Loyal,25-48,18-25
C1163,47,46,tv,10.53,0,484.38,1.0,3.85,4,2,1,7,Potential,25-48,46-55
C1164,54,51,internet,105.43,0,5376.93,2.0,7.902,4,4,5,13,Champions,49+,46-55
C1165,40,55,internet,33.4,0,1837.0,2.0,8.051,4,4,3,11,Loyal,49+,36-45
C1166,56,14,tv,101.74,0,1424.36,1.0,2.708,2,1,2,5,At Risk,13-24,56-65
C1167,62,28,tv,148.84,1,4167.52,1.0,3.367,2,2,4,8,Potential,25-48,56-65
C1168,32,7,bundle,20.17,0,141.19,3.0,6.238,1,3,1,5,At Risk,7-12,26-35
C1169,60,4,bundle,20.79,0,83.16,3.0,4.828,1,3,1,5,At Risk,0-6,56-65
C1170,46,28,mobile,57.65,0,1614.2,1.0,3.367,2,2,2,6,Potential,25-48,46-55
C1171,53,46,tv,131.29,0,6039.34,1.0,3.85,4,2,5,11,Loyal,25-48,46-55
C1172,30,67,bundle,40.17,0,2691.39,3.0,12.659,5,5,3,13,Champions,49+,26-35
C1173,49,44,mobile,60.45,0,2659.8,1.0,3.807,4,2,3,9,Loyal,25-48,46-55
C1174,24,1,mobile,19.59,1,19.59,1.0,0.693,1,1,1,3,Hibernating,0-6,18-25
C1175,68,26,mobile,116.84,1,3037.84,1.0,3.296,2,2,4,8,Potential,25-48,65+
C1176,39,35,bundle,67.16,0,2350.6,3.0,10.751,3,5,3,11,Loyal,25-48,36-45
C1177,45,35,tv,116.29,0,4070.15,1.0,3.584,3,2,4,9,Loyal,25-48,36-45
C1178,19,25,internet,136.51,1,3412.75,2.0,6.516,2,4,4,10,Loyal,25-48,18-25
C1179,59,42,mobile,42.59,0,1788.78,1.0,3.761,3,2,3,8,Potential,25-48,56-65
C1180,62,26,bundle,123.04,1,3199.04,3.0,9.888,2,5,4,11,Loyal,25-48,56-65
C1181,23,68,bundle,18.27,0,1242.36,3.0,12.702,5,5,2,12,Champions,49+,18-25
C1182,45,19,internet,135.84,0,2580.96,2.0,5.991,2,3,3,8,Potential,13-24,36-45
C1183,45,10,internet,101.11,1,1011.1,2.0,4.796,1,3,2,6,Potential,7-12,36-45
C1184,61,37,bundle,132.39,1,4898.43,3.0,10.913,3,5,5,13,Champions,25-48,56-65
C1185,61,5,tv,10.03,1,50.15,1.0,1.792,1,1,1,3,Hibernating,0-6,56-65
C1186,37,71,internet,33.67,0,2390.57,2.0,8.553,5,4,3,12,Champions,49+,36-45
C1187,47,22,bundle,64.57,0,1420.54,3.0,9.406,2,5,2,9,Loyal,13-24,46-55
C1188,28,46,internet,63.13,0,2903.98,2.0,7.7,4,4,3,11,Loyal,25-48,26-35
C1189,45,45,tv,41.74,0,1878.3,1.0,3.829,4,2,3,9,Loyal,25-48,36-45
C1190,42,11,mobile,63.43,1,697.73,1.0,2.485,1,1,1,3,Hibernating,7-12,36-45
C1191,56,12,internet,28.04,0,336.48,2.0,5.13,1,3,1,5,At Risk,7-12,56-65
C1192,50,61,tv,67.79,0,4135.19,1.0,4.127,5,3,4,12,Champions,49+,46-55
C1193,18,59,bundle,122.33,1,7217.47,3.0,12.283,5,5,5,15,Champions,49+,18-25
C1194,44,42,internet,77.07,0,3236.94,2.0,7.522,3,4,4,11,Loyal,25-48,36-45
C1195,69,67,internet,12.52,0,838.84,2.0,8.439,5,4,2,11,Loyal,49+,65+
C1196,30,4,bundle,69.0,0,276.0,3.0,4.828,1,3,1,5,At Risk,0-6,26-35
C1197,58,36,mobile,13.8,0,496.8,1.0,3.611,3,2,1,6,Potential,25-48,56-65
C1198,20,71,bundle,145.27,1,10314.17,3.0,12.83,5,5,5,15,Champions,49+,18-25
C1199,56,30,internet,27.84,0,835.2,2.0,6.868,3,4,2,9,Loyal,25-48,56-65
C1200,23,8,bundle,109.08,1,872.64,3.0,6.592,1,4,2,7,Potential,7-12,18-25
C1201,25,50,tv,146.19,0,7309.5,1.0,3.932,4,2,5,11,Loyal,49+,18-25
C1202,44,28,bundle,125.65,0,3518.2,3.0,10.102,2,5,4,11,Loyal,25-48,36-45
C1203,26,39,internet,107.9,0,4208.1,2.0,7.378,3,4,4,11,Loyal,25-48,26-35
C1204,54,40,bundle,127.52,0,5100.8,3.0,11.141,3,5,5,13,Champions,25-48,46-55
C1205,50,10,mobile,147.45,1,1474.5,1.0,2.398,1,1,2,4,At Risk,7-12,46-55
C1206,68,22,bundle,96.99,0,2133.78,3.0,9.406,2,5,3,10,Loyal,13-24,65+
C1207,59,0,mobile,88.29,1,0.0,1.0,0.0,1,1,1,3,Hibernating,0-6,56-65
C1208,61,45,tv,97.95,0,4407.75,1.0,3.829,4,2,4,10,Loyal,25-48,56-65
C1209,41,20,mobile,84.57,0,1691.4,1.0,3.045,2,1,3,6,Potential,13-24,36-45
C1210,32,35,bundle,98.91,0,3461.85,3.0,10.751,3,5,4,12,Champions,25-48,26-35
C1211,49,53,internet,72.98,0,3867.94,2.0,7.978,4,4,4,12,Champions,49+,46-55
C1212,49,56,mobile,40.58,0,2272.48,1.0,4.043,4,3,3,10,Loyal,49+,46-55
C1213,41,0,tv,26.83,0,0.0,1.0,0.0,1,1,1,3,Hibernating,0-6,36-45
C1214,58,62,mobile,19.57,0,1213.34,1.0,4.143,5,3,2,10,Loyal,49+,56-65
C1215,69,53,mobile,46.86,0,2483.58,1.0,3.989,4,2,3,9,Loyal,49+,65+
C1216,66,54,mobile,16.46,0,888.84,1.0,4.007,4,3,2,9,Loyal,49+,65+
C1217,66,39,tv,89.4,0,3486.6,1.0,3.689,3,2,4,9,Loyal,25-48,65+
C1218,69,14,bundle,49.74,0,696.36,3.0,8.124,2,4,1,7,Potential,13-24,65+
C1219,29,20,mobile,125.43,1,2508.6,1.0,3.045,2,1,3,6,Potential,13-24,26-35
C1220,56,46,mobile,20.39,0,937.94,1.0,3.85,4,2,2,8,Potential,25-48,56-65
C1221,19,52,internet,41.69,0,2167.88,2.0,7.941,4,4,3,11,Loyal,49+,18-25
C1222,20,8,tv,112.23,1,897.84,1.0,2.197,1,1,2,4,At Risk,7-12,18-25
C1223,66,51,mobile,93.83,0,4785.33,1.0,3.951,4,2,4,10,Loyal,49+,65+
C1224,54,56,tv,19.03,0,1065.68,1.0,4.043,4,3,2,9,Loyal,49+,46-55
C1225,66,25,mobile,132.81,1,3320.25,1.0,3.258,2,1,4,7,Potential,25-48,65+
C1226,34,40,bundle,132.82,0,5312.8,3.0,11.141,3,5,5,13,Champions,25-48,26-35
C1227,66,34,bundle,56.26,0,1912.84,3.0,10.666,3,5,3,11,Loyal,25-48,65+
C1228,19,62,mobile,57.66,0,3574.92,1.0,4.143,5,3,4,12,Champions,49+,18-25
C1229,19,24,bundle,148.46,1,3563.04,3.0,9.657,2,5,4,11,Loyal,13-24,18-25
C1230,45,37,mobile,97.66,0,3613.42,1.0,3.638,3,2,4,9,Loyal,25-48,36-45
C1231,40,1,bundle,84.38,0,84.38,3.0,2.079,1,1,1,3,Hibernating,0-6,36-45
C1232,54,6,internet,127.34,1,764.04,2.0,3.892,1,2,2,5,At Risk,0-6,46-55
C1233,49,33,internet,49.94,0,1648.02,2.0,7.053,3,4,3,10,Loyal,25-48,46-55
C1234,50,16,internet,70.09,0,1121.44,2.0,5.666,2,3,2,7,Potential,13-24,46-55
C1235,18,42,tv,47.49,0,1994.58,1.0,3.761,4,2,3,9,Loyal,25-48,18-25
C1236,36,58,tv,120.48,0,6987.84,1.0,4.078,5,3,5,13,Champions,49+,36-45
C1237,19,50,internet,90.27,0,4513.5,2.0,7.864,4,4,4,12,Champions,49+,18-25
C1238,61,53,tv,102.24,1,5418.72,1.0,3.989,4,2,5,11,Loyal,49+,56-65
C1239,43,23,bundle,45.32,0,1042.36,3.0,9.534,2,5,2,9,Loyal,13-24,36-45
C1240,49,24,mobile,40.83,0,979.92,1.0,3.219,2,1,2,5,At Risk,13-24,46-55
C1241,23,70,mobile,78.37,0,5485.9,1.0,4.263,5,3,5,13,Champions,49+,18-25
C1242,49,51,mobile,113.26,1,5776.26,1.0,3.951,4,2,5,11,Loyal,49+,46-55
C1243,21,69,internet,83.53,0,5763.57,2.0,8.497,5,4,5,14,Champions,49+,18-25
C1244,28,32,tv,14.57,0,466.24,1.0,3.497,3,2,1,6,Potential,25-48,26-35
C1245,34,48,bundle,131.6,0,6316.8,3.0,11.675,4,5,5,14,Champions,25-48,26-35
C1246,55,28,bundle,19.06,0,533.68,3.0,10.102,2,5,1,8,Potential,25-48,46-55
C1247,41,62,internet,143.82,0,8916.84,2.0,8.286,5,4,5,14,Champions,49+,36-45
C1248,22,21,bundle,13.52,0,283.92,3.0,9.273,2,5,1,8,Potential,13-24,18-25
C1249,69,25,bundle,107.22,1,2680.5,3.0,9.774,2,5,3,10,Loyal,25-48,65+
C1250,51,27,bundle,21.51,0,580.77,3.0,9.997,2,5,1,8,Potential,25-48,46-55
C1251,23,48,bundle,137.49,1,6599.52,3.0,11.675,4,5,5,14,Champions,25-48,18-25
C1252,39,70,tv,75.02,0,5251.4,1.0,4.263,5,3,5,13,Champions,49+,36-45
C1253,28,48,bundle,29.25,0,1404.0,3.0,11.675,4,5,2,11,Loyal,25-48,26-35
C1254,65,19,mobile,57.71,0,1096.49,1.0,2.996,2,1,2,5,At Risk,13-24,56-65
C1255,33,62,internet,33.08,0,2050.96,2.0,8.286,5,4,3,12,Champions,49+,26-35
C1256,50,60,tv,33.88,0,2032.8,1.0,4.111,5,3,3,11,Loyal,49+,46-55
C1257,26,48,bundle,142.74,0,6851.52,3.0,11.675,4,5,5,14,Champions,25-48,26-35
C1258,23,70,tv,72.33,0,5063.1,1.0,4.263,5,3,5,13,Champions,49+,18-25
C1259,33,0,bundle,120.43,1,0.0,3.0,0.0,1,1,1,3,Hibernating,0-6,26-35
C1260,46,12,mobile,99.54,0,1194.48,1.0,2.565,1,1,2,4,At Risk,7-12,46-55
C1261,20,50,internet,104.7,1,5235.0,2.0,7.864,4,4,5,13,Champions,49+,18-25
C1262,37,55,bundle,28.44,0,1564.2,3.0,12.076,4,5,2,11,Loyal,49+,36-45
C1263,53,61,bundle,42.79,0,2610.19,3.0,12.381,5,5,3,13,Champions,49+,46-55
C1264,36,31,bundle,120.15,0,3724.65,3.0,10.397,3,5,4,12,Champions,25-48,36-45
C1265,43,29,bundle,145.91,0,4231.39,3.0,10.204,3,5,4,12,Champions,25-48,36-45
C1266,20,28,internet,46.77,0,1309.56,2.0,6.735,2,4,2,8,Potential,25-48,18-25
C1267,36,48,internet,48.02,0,2304.96,2.0,7.784,4,4,3,11,Loyal,25-48,36-45
C1268,37,44,mobile,76.21,0,3353.24,1.0,3.807,4,2,4,10,Loyal,25-48,36-45
C1269,49,29,internet,147.74,0,4284.46,2.0,6.802,3,4,4,11,Loyal,25-48,46-55
C1270,24,15,bundle,47.65,0,714.75,3.0,8.318,2,4,2,8,Potential,13-24,18-25
C1271,69,39,mobile,66.98,0,2612.22,1.0,3.689,3,2,3,8,Potential,25-48,65+
C1272,58,18,mobile,134.81,1,2426.58,1.0,2.944,2,1,3,6,Potential,13-24,56-65
